ident,type,name,elevation_ft,iso_region,municipality,gps_code,local_code,coordinates
00A,heliport,Total Rf Heliport,11.0,US-PA,Bensalem,00A,00A,"-74.93360137939453, 40.07080078125"
00AA,small_airport,Aero B Ranch Airport,3435.0,US-KS,Leoti,00AA,00AA,"-101.473911, 38.704022"
00AK,small_airport,Lowell Field,450.0,US-AK,Anchor Point,00AK,00AK,"-151.695999146, 59.94919968"
00AL,small_airport,Epps Airpark,820.0,US-AL,Harvest,00AL,00AL,"-86.77030181884766, 34.86479949951172"
00AR,closed,Newport Hospital & Clinic Heliport,237.0,US-AR,Newport,,,"-91.254898, 35.6087"
00AS,small_airport,Fulton Airport,1100.0,US-OK,Alex,00AS,00AS,"-97.8180194, 34.9428028"
00AZ,small_airport,Cordes Airport,3810.0,US-AZ,Cordes,00AZ,00AZ,"-112.16500091552734, 34.305599212646484"
00CA,small_airport,Goldstone /Gts/ Airport,3038.0,US-CA,Barstow,00CA,00CA,"-116.888000488, 35.350498199499995"
00CL,small_airport,Williams Ag Airport,87.0,US-CA,Biggs,00CL,00CL,"-121.763427, 39.427188"
00CN,heliport,Kitchen Creek Helibase Heliport,3350.0,US-CA,Pine Valley,00CN,00CN,"-116.4597417, 32.7273736"
00CO,closed,Cass Field,4830.0,US-CO,Briggsdale,,,"-104.344002, 40.622202"
00FA,small_airport,Grass Patch Airport,53.0,US-FL,Bushnell,00FA,00FA,"-82.21900177001953, 28.64550018310547"
00FD,heliport,Ringhaver Heliport,25.0,US-FL,Riverview,00FD,00FD,"-82.34539794921875, 28.846599578857422"
00FL,small_airport,River Oak Airport,35.0,US-FL,Okeechobee,00FL,00FL,"-80.96920013427734, 27.230899810791016"
00GA,small_airport,Lt World Airport,700.0,US-GA,Lithonia,00GA,00GA,"-84.06829833984375, 33.76750183105469"
00GE,heliport,Caffrey Heliport,957.0,US-GA,Hiram,00GE,00GE,"-84.73390197753906, 33.88420104980469"
00HI,heliport,Kaupulehu Heliport,43.0,US-HI,Kailua/Kona,00HI,00HI,"-155.980233, 19.832715"
00ID,small_airport,Delta Shores Airport,2064.0,US-ID,Clark Fork,00ID,00ID,"-116.21399688720703, 48.145301818847656"
00IG,small_airport,Goltl Airport,3359.0,US-KS,McDonald,00IG,00IG,"-101.395994, 39.724028"
00II,heliport,Bailey Generation Station Heliport,600.0,US-IN,Chesterton,00II,00II,"-87.122802734375, 41.644500732421875"
00IL,small_airport,Hammer Airport,840.0,US-IL,Polo,00IL,00IL,"-89.5604019165039, 41.97840118408203"
00IN,heliport,St Mary Medical Center Heliport,634.0,US-IN,Hobart,00IN,00IN,"-87.2605972290039, 41.51139831542969"
00IS,small_airport,Hayenga's Cant Find Farms Airport,820.0,US-IL,Kings,00IS,00IS,"-89.1229019165039, 40.02560043334961"
00KS,small_airport,Hayden Farm Airport,1100.0,US-KS,Gardner,00KS,00KS,"-94.93049621582031, 38.72779846191406"
00KY,small_airport,Robbins Roost Airport,1265.0,US-KY,Stanford,00KY,00KY,"-84.61969757080078, 37.409400939941406"
00LA,heliport,Shell Chemical East Site Heliport,15.0,US-LA,Gonzales,00LA,00LA,"-90.980833, 30.191944"
