City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,State Code,Race,Count
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,30908.0,MD,Hispanic or Latino,25924
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,32935.0,MA,White,58723
Hoover,Alabama,38.5,38040.0,46799.0,84839,8229.0,AL,Asian,4759
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,33878.0,CA,Black or African-American,24437
Newark,New Jersey,34.6,138040.0,143873.0,281913,86253.0,NJ,White,76402
Peoria,Illinois,33.1,56229.0,62432.0,118661,7517.0,IL,American Indian and Alaska Native,1343
Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,AZ,Black or African-American,11592
West Covina,California,39.8,51629.0,56860.0,108489,37038.0,CA,Asian,32716
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,MO,Hispanic or Latino,2583
High Point,North Carolina,35.5,51751.0,58077.0,109828,16315.0,NC,Asian,11060
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,CA,Hispanic or Latino,5822
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,CA,American Indian and Alaska Native,998
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,205339.0,PA,Asian,122721
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,KS,Hispanic or Latino,65162
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,KS,American Indian and Alaska Native,8791
Fort Myers,Florida,37.3,36850.0,37165.0,74015,15365.0,FL,White,50169
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,PA,White,208863
Laredo,Texas,28.8,124305.0,131484.0,255789,68427.0,TX,American Indian and Alaska Native,1253
Berkeley,California,32.5,60142.0,60829.0,120971,25000.0,CA,Asian,27089
Santa Clara,California,35.2,63278.0,62938.0,126216,52281.0,CA,White,55847
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,19652.0,PA,Black or African-American,22304
Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,VA,Black or African-American,70303
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,15212.0,IL,American Indian and Alaska Native,323
Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,MD,White,49181
Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,NV,Hispanic or Latino,29159
Rancho Cordova,California,33.8,34844.0,36182.0,71026,17020.0,CA,Asian,12653
Westminster,Colorado,37.8,54866.0,58251.0,113117,11361.0,CO,Hispanic or Latino,23355
Lakewood,Colorado,37.7,76013.0,76576.0,152589,14169.0,CO,Hispanic or Latino,33630
Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,MI,White,44786
New Haven,Connecticut,29.9,63765.0,66545.0,130310,25871.0,CT,American Indian and Alaska Native,2205
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,17490.0,MN,White,41760
Chula Vista,California,34.6,131485.0,134269.0,265754,82710.0,CA,Hispanic or Latino,156522
Danbury,Connecticut,37.3,43435.0,41227.0,84662,25675.0,CT,Black or African-American,8454
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,19070.0,MA,Black or African-American,6944
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,28567.0,FL,White,179121
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,33394.0,FL,Black or African-American,85300
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,32166.0,UT,Asian,13153
Suffolk,Virginia,38.2,43048.0,45113.0,88161,2829.0,VA,Black or African-American,39107
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,2787.0,AR,Hispanic or Latino,4860
Jurupa Valley,California,33.8,49430.0,50884.0,100314,25338.0,CA,White,58201
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,1485425.0,CA,White,2177650
Flower Mound,Texas,40.2,35200.0,35824.0,71024,6860.0,TX,Hispanic or Latino,6149
